cricketer,date,article
Lahiru Kumara,02/22/2021,https://www.espncricinfo.com/story/sri-lanka-s-lahiru-kumara-tests-positive-for-covid-19-to-miss-west-indies-tour-1252612
Kyle Jarvis,1/31/2021,https://www.espncricinfo.com/story/when-kyle-jarvis-had-covid-19-malaria-and-tick-bite-fever-1251365
Lahiru Thirimanne,02/03/2021,https://www.espncricinfo.com/story/sl-tour-of-wi-mickey-arthur-and-lahiru-thirimanne-test-positive-for-covid-19-1249954
Shai Hope,1/26/20201,https://www.espncricinfo.com/story/shai-hope-kyle-hope-test-positive-for-covid-19-ruled-out-of-super-50-cup-1249340
Kyle Hope,1/26/2021,https://www.espncricinfo.com/story/shai-hope-kyle-hope-test-positive-for-covid-19-ruled-out-of-super-50-cup-1249340
Trevon Griffith,1/26/2021,https://www.espncricinfo.com/story/shai-hope-kyle-hope-test-positive-for-covid-19-ruled-out-of-super-50-cup-1249340
Binura Fernando,1/21/2021,https://www.espncricinfo.com/story/wi-vs-sl-2021-22-sri-lanka-s-binura-fernando-chamika-karunaratne-test-covid-19-positive-ahead-of-west-indies-tour-1248735
Chamika Karunaratne,1/21/2021,https://www.espncricinfo.com/story/wi-vs-sl-2021-22-sri-lanka-s-binura-fernando-chamika-karunaratne-test-covid-19-positive-ahead-of-west-indies-tour-1248735
Dane van Niekerk,1/11/2021,https://www.espncricinfo.com/story/saw-vs-pakw-2020-21-south-africa-dane-van-niekerk-chloe-tryon-out-of-pakistan-series-1247518
Chloe Tryon,1/11/2021,https://www.espncricinfo.com/story/saw-vs-pakw-2020-21-south-africa-dane-van-niekerk-chloe-tryon-out-of-pakistan-series-1247518
Sana Mir,1/4/2021,https://www.espncricinfo.com/story/sana-mir-tests-positive-for-covid-19-1246279
Moeen Ali,1/4/2021,https://www.espncricinfo.com/story/sri-lanka-vs-england-moeen-ali-tests-positive-for-covid-19-as-england-arrive-in-sri-lanka-1246276
Mujeeb Ur Rahman,,
Paras Khadka,12/11/2020,https://www.espncricinfo.com/story/nepal-s-paras-khadka-tests-positive-for-covid-19-1243544
Saif Hassan,9/16/2020,https://www.espncricinfo.com/story/covid-19-bangladesh-batsman-saif-hassan-returns-positive-again-in-second-test-1232402
David Willey,9/16/2020,https://www.espncricinfo.com/story/david-willey-tests-positive-for-covid-19-ruling-three-yorkshire-team-mates-out-of-blast-group-games-1232460
Mohammad Rizwan,,
Fawad Ahmed,,
Mohammad Faizan,,
Sohail Tanvir,,
Sarfaraz Ahmed,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452162
Muhammad Abbas,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452162
Mohammad Nawaz,09/09/2021,https://www.espncricinfo.com/story/pakistan-vs-new-zealand-2021-mohammad-nawaz-tests-positive-for-covid-19-ahead-of-new-zealand-series-1277053
Naseem Shah,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452162
Rohail Nazir,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452163
Danish Aziz,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452164
Abid Ali,11/27/2020,https://twitter.com/SajSadiqCricket/status/1332238467439452165
Rishabh Pant,7/15/2021,https://indianexpress.com/article/sports/cricket/indian-cricketer-in-england-tests-positive-quarantined-7405099/
Peter Handscomb,7/12/2021,https://indianexpress.com/article/sports/cricket/australia-cricketer-peter-handscomb-positive-for-covid-19-7400669/
Wahab Riaz,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Mohammad Hafeez,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Fakhar Zaman,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Mohammad Rizwan,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Kashif Bhatti,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Mohammad Hasnain,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Imran Khan,6/23/2020,https://indianexpress.com/article/sports/cricket/seven-pakistan-players-covid-19-coronavirus-positive-6472750/
Shadab Khan,6/23/2020,https://indianexpress.com/article/sports/cricket/pakistan-pcb-haris-rauf-haider-ali-shadab-khan-covid-19-positive-6471337/
Haris Rauf,6/23/2020,https://indianexpress.com/article/sports/cricket/pakistan-pcb-haris-rauf-haider-ali-shadab-khan-covid-19-positive-6471337/
Haider Ali,6/23/2020,https://indianexpress.com/article/sports/cricket/pakistan-pcb-haris-rauf-haider-ali-shadab-khan-covid-19-positive-6471337/
Krunal Pandya,7/30/2021,https://www.livemint.com/news/india/two-more-indian-cricketers-test-covid-positive-in-sri-lanka-11627642015120.html
Krishnappa Gowtham,7/30/2021,https://www.livemint.com/news/india/two-more-indian-cricketers-test-covid-positive-in-sri-lanka-11627642015120.html
Yuzvendra Chahal,7/30/2021,https://www.livemint.com/news/india/two-more-indian-cricketers-test-covid-positive-in-sri-lanka-11627642015120.html
Kusal Mendis,7/15/2021,https://www.france24.com/en/live-news/20210715-flower-faces-sri-lanka-inquiry-over-virus-bubble-breach
